WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
10705,Fic Non Fic Pic,14/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447231592,Book,Main Market Ed.,Paperback,B Format,Paperback,,240,
C103121113754,Fic Non Fic Pic,14/3/2025,,Yes,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447220268,Book,Main Market Ed.,Paperback,B Format,Paperback,,224,
C103235141118,Fic Non Fic Pic,14/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447227687,Book,Main Market Ed.,Paperback,B Format,Paperback,,160,
C103247164748,Gen Non-Fiction,14/3/2025,,No,No,,Acquired,Pan,Pan Editor,9781447228875,Book,Main Market Ed.,Paperback,B Format,Paperback,,464,
C103247164748,Gen Non-Fiction,14/3/2025,,No,No,,Acquired,Pan,Pan Editor,9781447228882,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,288,
19817,Fic Non Fic Pic,21/3/2025,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447241690,EBook Bundle,Ebook,,epub,Online,,1056,
C102925150556,Picador,25/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447209508,Book,Main Market Ed.,Paperback,,Paperback,,288,
C100644105737,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330539333,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,544,
9255,Fic Non Fic Pic,28/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780330527620,EBook,Ebook,,,Dig Ed Adobe,MCB High,624,
C100686161502,Gen Non-Fiction,28/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330538282,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,448,
C102954142158,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447210849,Book,Main Market Ed.,Paperback,B Format,Paperback,,272,
15983,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330527927,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,224,
C103032144841,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447214830,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,256,
C102824163552,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447241850,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,256,
C103790145632,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330533188,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,336,
C101729155935,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780230771499,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,524,
C101186141552,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330538534,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,96,
3592,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330543750,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,336,
9922,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9780330543019,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,64,
C102824155710,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447202431,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
6560,Gen Non-Fiction,28/3/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447231844,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,382,
2708,Picador,28/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447235521,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,192,
C100665173714,Tor,28/3/2025,,No,No,,Acquired,Tor,Tor Editor,9780230738508,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,368,
C100567105632,Gen Non-Fiction,28/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330541121,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,848,
C103752190817,Macmillan Bus,28/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330540995,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,224,
7169,Mantle,28/3/2025,,No,No,,Acquired,Pan,Pan Editor,9781447216520,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,416,
C103220114234,Fic Non Fic Pic,28/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447245803,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,208,
15562,Fic Non Fic Pic,28/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780330527422,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,432,
C102836161530,Pan/Sidgwick NF,28/3/2025,,No,No,,Acquired,Pan,Pan Editor,9781447203803,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
