WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
59327,Bluebird,8/12/2034,,No,No,,Acquired,Bluebird,Bluebird Editor,9781035005185,Book,Main Market Ed.,Hardback,Other,Diary,,288,
57689,Fic Non Fic Pic,19/12/2034,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035025466,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,Standard Ebook,32,
59282,Bluebird,22/12/2034,,No,No,,Acquired,One Boat,One Boat Editor,9781529095579,Book,Main Market Ed.,Trade Paperback,Crown Quarto,Trade PB,,272,
59282,Bluebird,22/12/2034,,No,No,,Acquired,One Boat,,9781035017683,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,272,
58454,Macmillan Bus,27/12/2034,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035015542,Book,Main Market Ed.,Hardback,Royal,Hardback,,288,
58454,Macmillan Bus,27/12/2034,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035002009,EBook,Ebook,,epub,E-Books,Non-Fiction High,256,
58454,Macmillan Bus,27/12/2034,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035002016,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58454,Macmillan Bus,27/12/2034,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035001989,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,288,
63188,Priddy Books,3/1/2035,,No,No,,No Head Contract Required,Neon Squid,Neon Squid Editor,9781838992729,Book,Main Market Ed.,Hardback,Other,Hardback,,32,
63226,Priddy Books,3/1/2035,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838992941,Book,Main Market Ed.,Board Book,Other,Hardback,,12,
63228,Priddy Books,3/1/2035,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781838992965,Book,Main Market Ed.,Board Book,Other,Hardback,,10,
63187,Priddy Books,3/1/2035,,No,No,,No Head Contract Required,Neon Squid,Neon Squid Editor,9781838992712,Book,Main Market Ed.,Hardback,Other,Hardback,,32,
63227,Priddy Books,3/1/2035,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838992958,Book,Main Market Ed.,Board Book,Other,Hardback,,12,
58301,Picador,5/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529077490,Book,Main Market Ed.,Paperback,B Format,Paperback,,736,
53764,Presch Brand&Cl,5/1/2035,,Yes,Yes,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035001507,Sticker Book,New Edit/Cover,Paperback,Other,Paperback,,24,
56753,Mantle,5/1/2035,,No,No,,Acquired,Pan,Pan Editor,9781529038897,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
56171,Bluebird,5/1/2035,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781035008513,Book,Main Market Ed.,Hardback,Crown Quarto,Hardback,,272,
53965,Presch Brand&Cl,5/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529097887,Novelty Book,Main Market Ed.,Board Book,Other,Novelty,,18,
57239,Bluebird,5/1/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529075984,Book,Main Market Ed.,Trade Paperback,Other,Trade PB,,192,
57761,Picador,5/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529062984,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103156172019,Fic Non Fic Pic,5/1/2035,,Yes,No,,Acquired,Macmillan Children's Books,,9781035004959,Mixed Media Product,Main Market Ed.,Paperback,250 x 280,Packs,,32,
53004,Mantle,5/1/2035,,No,No,,Acquired,Pan,Pan Editor,9781509837427,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
56171,Bluebird,5/1/2035,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781529028218,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,272,
50172,Bluebird,12/1/2035,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781035005192,Book,Main Market Ed.,Paperback,B Format,Paperback,,240,
56160,Picador,12/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529034066,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
58375,Gen Non-Fiction,12/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529080094,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58375,Gen Non-Fiction,12/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529080056,Book,Main Market Ed.,Hardback,Royal,Hardback,,288,
58375,Gen Non-Fiction,12/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529080087,EBook,Ebook,,epub,E-Books,Non-Fiction High,304,
20504,Fic Non Fic Pic,12/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529069297,Book,New Edit/Cover,Paperback,216 x 270,Paperback,,64,
58953,Fic Non Fic Pic,12/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529096224,Book,Main Market Ed.,Paperback,Other,Paperback,,208,
58375,Gen Non-Fiction,12/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529080063,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,288,
58866,Gen Non-Fiction,17/1/2035,,Yes,Yes,,Acquired,Macmillan,Macmillan Editor,9781529094848,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,336,
62802,Priddy Books,17/1/2035,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781783418947,Book,Main Market Ed.,Board Book,Other,Hardback,,14,
62961,Priddy Books,17/1/2035,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781838990213,Book,Main Market Ed.,Board Book,Other,Hardback,,14,
62962,Priddy Books,17/1/2035,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838990220,Book,Main Market Ed.,Board Book,Other,Hardback,,14,
62815,Priddy Books,17/1/2035,,No,No,,Pre-Acquisition,Priddy Books,Priddy Books Editor,9781783419029,Book,Main Market Ed.,Board Book,Other,Hardback,,14,
63471,Gen Non-Fiction,19/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529094374,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,208,
59456,Picador,19/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781035009718,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,288,
59476,Fic Non Fic Pic,19/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035011711,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,320,
58633,Presch Brand&Cl,19/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529088526,Book,Main Market Ed.,Board Book,180 x 180,Hardback,,8,
C102309152421,Picador,19/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781035012756,Book,New Edit/Cover,Paperback,B Format,Paperback,,224,
51013,Gen Non-Fiction,19/1/2035,,No,No,,Acquired,Pan,,9781035023547,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58832,Gen Non-Fiction,19/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529094367,Book,Main Market Ed.,Hardback,Demy,Hardback,,208,
58732,Collectors Lib,19/1/2035,,No,No,,Acquired,Macmillan Collector's Library,Macmillan Collector's Library Editor,9781529091342,EBook,Ebook,,epub,Dig Ed Adobe,£3.99 fixed,224,
59296,Fic Non Fic Pic,19/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035013258,EBook,Ebook,,epub,E-Books,MCB Low,336,
57732,Gen Non-Fiction,19/1/2035,,No,No,,Acquired,Pan,Pan Editor,9781529064230,Book,Main Market Ed.,Paperback,B Format,Paperback,,288,
58732,Collectors Lib,19/1/2035,,No,No,,Acquired,Macmillan Collector's Library,Macmillan Collector's Library Editor,9781529091335,Book,Main Market Ed.,Hardback,MCL Standard,Hardback,,192,
57486,Fic Non Fic Pic,19/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529060553,Book,Main Market Ed.,Paperback,260 x 260,Paperback,,32,
58832,Gen Non-Fiction,19/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529094398,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
59476,Fic Non Fic Pic,19/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035011728,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
58832,Gen Non-Fiction,19/1/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529094381,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,208,
57131,Presch Brand&Cl,19/1/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529064407,Book,Main Market Ed.,Board Book,Other,Novelty,,12,
1338,Picador,19/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781035012749,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
59456,Picador,19/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781035009725,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
C100484133635,Picador,19/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781035012732,Book,Main Market Ed.,Paperback,B Format,Paperback,,464,
57486,Fic Non Fic Pic,19/1/2035,,No,No,,Acquired,Macmillan Children's Books,,9781035024322,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,Standard Ebook,32,
59456,Picador,19/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781035009701,Book,Open Market,Trade Paperback,Royal,Trade PB,,288,
59296,Fic Non Fic Pic,19/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035013241,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
57132,Presch Brand&Cl,19/1/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529064391,Book,Main Market Ed.,Board Book,Other,Novelty,,12,
59476,Fic Non Fic Pic,19/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035011735,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
62669,Priddy Books,23/1/2035,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781849158916,Book,Main Market Ed.,Board Book,150mm x 120mm,Hardback,,24,
58918,Presch Brand&Cl,26/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035002443,Picture Book,Main Market Ed.,Board Book,180 x 180,Hardback,,32,
54716,Two Hoots,26/1/2035,,No,No,,Acquired,Two Hoots,Two Hoots Editor,9781035006496,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
58866,Gen Non-Fiction,26/1/2035,,Yes,Yes,,Acquired,Macmillan,Macmillan Editor,9781529094862,EBook,Ebook,,epub,E-Books,Non-Fiction High,320,
57903,Picador,26/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529066944,EBook,Ebook,,epub,E-Books,Fiction Low,432,
57322,Macmillan Bus,26/1/2035,,No,No,,Acquired,Pan,Pan Editor,9781529051858,Book,Main Market Ed.,Paperback,B Format,Paperback,,432,
57903,Picador,26/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529066913,Book,Main Market Ed.,Hardback,Demy,Hardback,,432,
58513,Presch Brand&Cl,26/1/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781035003235,Book,Main Market Ed.,Board Book,250 x 250,Novelty,,12,
58948,Gen Non-Fiction,26/1/2035,,No,No,,Acquired,Pan,Pan Editor,9781529096064,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
58980,Presch Brand&Cl,26/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035002559,Picture Book,Main Market Ed.,Board Book,180 x 180,Hardback,,32,
58980,Presch Brand&Cl,26/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035002566,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
55878,Two Hoots,26/1/2035,,No,No,,Acquired,Two Hoots,Two Hoots Editor,9781529026146,Book,Main Market Ed.,Paperback,250 x 250,Paperback,,32,
58866,Gen Non-Fiction,26/1/2035,,Yes,No,,Acquired,Macmillan,Macmillan Editor,9781529094879,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58866,Gen Non-Fiction,26/1/2035,,No,Yes,,Acquired,Macmillan,Macmillan Editor,9781529094831,Book,Main Market Ed.,Hardback,Royal,Hardback,,336,
50502,Picador,26/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529092653,Book,New Edit/Cover,Paperback,B Format,Paperback,,272,
57447,Bluebird,26/1/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529054309,Book,Main Market Ed.,Hardback,Royal,Hardback,,288,
58510,Picador,26/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529086492,Book,Main Market Ed.,Paperback,B Format,Paperback,,240,
57447,Bluebird,26/1/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529054316,Book,Air Iri OME,Trade Paperback,Royal,Hardback,,288,
57447,Bluebird,26/1/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529054323,EBook,Ebook,,epub,E-Books,Non-Fiction Low,304,
54950,Picador,26/1/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781529000528,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
57903,Picador,26/1/2035,,No,No,,Acquired,Picador,Picador Editor,9781529066920,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,432,
52669,Tor,26/1/2035,,No,No,,Acquired,Tor,Tor Editor,9781509835317,Book,Main Market Ed.,Paperback,B Format,Paperback,,272,
57447,Bluebird,26/1/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529054330,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58918,Presch Brand&Cl,26/1/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035002450,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
57417,Bluebird,26/1/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529056259,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
58472,Picador,2/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529096880,Book,Main Market Ed.,Hardback,A Format,Hardback,,64,
C102169143056,Picador,2/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9780330513326,Book,Main Market Ed.,Hardback,Royal,Hardback,,352,
58471,Picador,2/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529096972,Book,Main Market Ed.,Hardback,A Format,Hardback,,64,
59268,Fic Non Fic Pic,2/2/2035,,Yes,No,,Acquired,Macmillan,Macmillan Editor,9781035003167,EBook,Ebook,,epub,E-Books,MCB High,304,
C102169143056,Picador,2/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781035017614,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
52098,Presch Brand&Cl,2/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035004591,Book,New Edit/Cover,Board Book,180 x 180,Novelty,,12,
56010,Mantle,2/2/2035,,No,No,,Acquired,Pan,Pan Editor,9781529025101,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
59389,Gen Non-Fiction,2/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035006816,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
59268,Fic Non Fic Pic,2/2/2035,,Yes,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035003174,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
59307,Gen Non-Fiction,2/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035005918,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,304,
59268,Fic Non Fic Pic,2/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035003150,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
59389,Gen Non-Fiction,2/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035006793,Book,Main Market Ed.,Hardback,Royal,Hardback,,352,
58630,Tor,2/2/2035,,No,No,,Acquired,Tor,Tor Editor,9781529087994,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
57143,Presch Brand&Cl,2/2/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529088199,Novelty Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
C102169143056,Picador,2/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781035017379,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,352,
59307,Gen Non-Fiction,2/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035005901,Book,Main Market Ed.,Hardback,Royal,Hardback,,304,
58472,Picador,2/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529096897,EBook,Ebook,,epub,E-Books,Fiction High,80,
59389,Gen Non-Fiction,2/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035006809,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,320,
58471,Picador,2/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529096989,EBook,Ebook,,epub,E-Books,Fiction High,64,
59307,Gen Non-Fiction,2/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035005925,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58550,Fic Non Fic Pic,2/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529088670,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
59723,Macmillan Bus,7/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035016990,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,288,
63232,Priddy Books,7/2/2035,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781838993009,Book,Main Market Ed.,Board Book,130mm x 130mm,Hardback,,12,
59723,Macmillan Bus,7/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035017027,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
59723,Macmillan Bus,7/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035017003,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,272,
63230,Priddy Books,7/2/2035,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838992989,Book,Main Market Ed.,Board Book,130mm x 130mm,Hardback,,12,
63225,Priddy Books,7/2/2035,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781838992934,Book,Main Market Ed.,Board Book,Other,Hardback,,,
59723,Macmillan Bus,7/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035016983,Book,Main Market Ed.,Hardback,Royal,Hardback,,288,
63233,Priddy Books,7/2/2035,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838993016,Book,Main Market Ed.,Board Book,130mm x 130mm,Hardback,,12,
63229,Priddy Books,7/2/2035,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781838992972,Book,Main Market Ed.,Board Book,130mm x 130mm,Hardback,,12,
59149,Bluebird,9/2/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781035000296,EBook,Ebook,,epub,E-Books,Non-Fiction High,224,
57589,Picador,9/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529063530,EBook,Ebook,,epub,E-Books,Fiction High,192,
57814,Fic Non Fic Pic,9/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529064025,EBook,Ebook,,epub,E-Books,MCB Low,160,
58386,Picador,9/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529085228,Book,Main Market Ed.,Paperback,B Format,Paperback,,240,
59149,Bluebird,9/2/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781035000272,Book,Main Market Ed.,Trade Paperback,Royal,Trade PB,,320,
54418,Presch Brand&Cl,9/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529070385,Book,Main Market Ed.,Hardback,Other,Hardback,,40,
53708,Presch Brand&Cl,9/2/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781035004706,Novelty Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
58415,Picador,9/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529080476,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
57903,Picador,9/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529066951,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
57589,Picador,9/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529063547,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58473,Gen Non-Fiction,9/2/2035,,No,No,,Acquired,Pan,Pan Editor,9781529084214,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
54418,Presch Brand&Cl,9/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529099584,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
56244,Picador,9/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529032024,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
57814,Fic Non Fic Pic,9/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529064018,Book,Main Market Ed.,Paperback,B Format,Paperback,,160,
58559,Bluebird,13/2/2035,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781529087871,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58559,Bluebird,13/2/2035,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781529087840,Book,Main Market Ed.,Hardback,Demy,Hardback,,336,
58559,Bluebird,13/2/2035,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781529087864,EBook,Ebook,,epub,E-Books,Non-Fiction High,304,
58559,Bluebird,13/2/2035,,No,No,,Acquired,Bluebird,Bluebird Editor,9781035015313,Book,INDIA,Paperback,B Format,Trade PB,,304,
58559,Bluebird,13/2/2035,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781529087857,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,336,
58816,Picador,16/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529094633,Book,Open Market,Hardback,Demy,Trade PB,,176,
58816,Picador,16/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529094664,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56930,Picador,16/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781529046014,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
59142,Picador,16/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781529099881,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
59142,Picador,16/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781529099898,EBook,Ebook,,epub,E-Books,Non-Fiction High,448,
58838,Picador,16/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781035000081,Book,Main Market Ed.,Trade Paperback,S format,Trade PB,,80,
C103583105245,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529098976,Picture Book,Main Market Ed.,Board Book,Other,Hardback,,28,
57854,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529073867,Book,Main Market Ed.,Hardback,Other,Hardback,,48,
53772,Picador,16/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529014358,Book,Main Market Ed.,Paperback,B Format,Paperback,,576,
57970,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035017744,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
59755,Fic Non Fic Pic,16/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035015917,EBook,Ebook,,epub,Dig Ed Adobe,£0.99 fixed,97,
57854,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Macmillan Children's Books,,9781035006465,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,48,
58816,Picador,16/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529094657,EBook,Ebook,,epub,E-Books,Fiction High,176,
59769,Macmillan Bus,16/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035018970,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
54431,Fic Non Fic Pic,16/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529009378,Book,Main Market Ed.,Paperback,S format,Paperback,,240,
57970,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529069778,Book,Main Market Ed.,Paperback,Other,Paperback,,32,
58838,Picador,16/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781035000098,EBook,Ebook,,epub,E-Books,Fiction High,80,
59142,Picador,16/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781529099928,Book,Aus. N.Z.,Trade Paperback,Royal,Trade PB,,448,
50163,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781035011940,Book,Main Market Ed.,Paperback,Other,Paperback,,32,
59142,Picador,16/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781529099911,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58955,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781035004430,Novelty Book,Main Market Ed.,Cased Board Book,180 x 180,Novelty,,10,
58977,Presch Brand&Cl,16/2/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781035010196,Picture Book,Main Market Ed.,Board Book,Other,Novelty,,12,
59769,Macmillan Bus,16/2/2035,,No,No,,Acquired,Macmillan,Macmillan Editor,9781035018963,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,304,
10397,Two Hoots,22/2/2035,,No,No,,Acquired,Two Hoots,Two Hoots Editor,9781447269892,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB Low,32,
53500,Presch Brand&Cl,23/2/2035,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781035011933,Novelty Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
59439,Picador,23/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781035009046,Book,Main Market Ed.,Hardback,Royal,Hardback,,448,
56342,Tor,23/2/2035,,No,No,,Acquired,Tor,Tor Editor,9781529032819,Book,Main Market Ed.,Paperback,B Format,Paperback,,560,
52507,Picador,23/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781529029239,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
54418,Presch Brand&Cl,23/2/2035,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781035024667,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
57202,Tor,23/2/2035,,No,No,,Acquired,Tor,Tor Editor,9781529050059,Book,Main Market Ed.,Paperback,B Format,Paperback,,544,
52507,Picador,23/2/2035,,No,No,,Acquired,Picador,Picador Editor,9781509826551,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,,
59439,Picador,23/2/2035,,Yes,No,,Acquired,Picador,Picador Editor,9781035009077,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,352,
